congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
111,House,15245,82,1,HI,100,1,1,"ABERCROMBIE, Neil",A000014,1938,,-0.432,-0.026,-29.75106,0.953,617,10,,-0.465,0.091
111,House,20713,82,2,HI,100,0,1,"HIRONO, Mazie",H001042,1947,,-0.515,-0.1,-43.33537,0.95626,969,18,,-0.542,-0.018
111,House,20961,82,1,HI,200,2,2,"DJOU, Charles",D000611,1970,,0.172,-0.181,-74.17922,0.693,202,31,,0.195,-0.405
111,House,20912,63,1,ID,100,0,1,"MINNICK, Walt",M001175,1942,,0.088,-0.484,-542.52141,0.571,969,285,,0.091,-0.612
111,House,29910,63,2,ID,200,0,1,"SIMPSON, Michael K.",S001148,1950,,0.296,0.312,-241.81299,0.77835,965,96,,0.279,0.455
111,House,15453,21,12,IL,100,0,1,"COSTELLO, Jerry Francis",C000794,1949,,-0.317,0.657,-170.11017,0.836,947,60,,-0.288,0.479
111,House,20115,21,10,IL,200,0,1,"KIRK, Mark Steven",K000360,1959,,0.274,-0.647,-240.11557,0.771,921,105,,0.274,-0.591
111,House,20116,21,15,IL,200,0,1,"JOHNSON, Timothy V.",J000285,1946,2022,0.264,-0.52,-445.25705,0.627,954,193,,0.398,-0.917
111,House,20508,21,3,IL,100,0,1,"LIPINSKI, Daniel",L000563,1966,,-0.227,0.176,-153.88483,0.8526,965,55,,-0.251,0.564
111,House,20509,21,8,IL,100,0,1,"BEAN, Melissa L.",B001253,1962,,-0.155,-0.063,-375.16424,0.674,952,128,,-0.176,-0.396
111,House,20715,21,6,IL,200,0,1,"ROSKAM, Peter",R000580,1961,,0.429,0.018,-152.10032,0.85404,964,67,,0.482,-0.142
111,House,20716,21,17,IL,100,0,1,"HARE, Phil",H001040,1949,,-0.38,0.155,-53.07832,0.947,977,18,,-0.426,0.233
111,House,20749,21,14,IL,100,0,1,"FOSTER, Bill",F000454,1955,,-0.238,-0.224,-292.04141,0.74298,983,103,,-0.17,-0.23
111,House,20913,21,11,IL,100,0,1,"HALVORSON, Deborah L.",H001044,1958,,-0.183,0.027,-293.49757,0.742,982,95,,-0.181,-0.055
111,House,20914,21,18,IL,200,0,1,"SCHOCK, Aaron",S001179,1981,,0.311,0.185,-193.45607,0.815,946,83,,0.34,0.081
111,House,20954,21,5,IL,100,2,2,"QUIGLEY, Mike",Q000023,1958,,-0.326,-0.231,-119.10281,0.86911,849,38,,-0.306,-0.459
111,House,29346,21,1,IL,100,0,1,"RUSH, Bobby L.",R000515,1946,,-0.479,-0.203,-104.316,0.89113,905,33,,-0.363,-0.236
111,House,29348,21,4,IL,100,0,1,"GUTIÉRREZ, Luis V.",G000535,1953,,-0.487,-0.26,-96.31582,0.89622,879,35,,-0.45,-0.325
111,House,29349,21,16,IL,200,0,1,"MANZULLO, Donald A.",M001138,1944,,0.51,0,-189.57637,0.823,974,84,,0.509,-0.089
111,House,29585,21,2,IL,100,0,1,"JACKSON, Jesse L., Jr.",J000283,1965,,-0.538,-0.513,-68.09428,0.932,970,27,,-0.491,-0.203
111,House,29717,21,7,IL,100,0,1,"DAVIS, Danny K.",D000096,1941,,-0.487,-0.266,-64.02849,0.93284,921,25,,-0.464,-0.257
111,House,29718,21,19,IL,200,0,1,"SHIMKUS, John M.",S000364,1958,,0.375,0.154,-198.03081,0.81534,970,96,,0.467,-0.1
111,House,29911,21,9,IL,100,0,1,"SCHAKOWSKY, Janice D.",S001145,1944,,-0.602,-0.292,-48.2155,0.95165,973,21,,-0.518,-0.274
111,House,29912,21,13,IL,200,0,1,"BIGGERT, Judy Borg",B001232,1937,,0.323,-0.372,-226.51537,0.794,980,120,,0.277,-0.117
111,House,15014,22,5,IN,200,0,1,"BURTON, Danny Lee",B001149,1938,,0.585,-0.026,-134.37124,0.871,970,53,,0.564,0.015
111,House,15124,22,1,IN,100,0,1,"VISCLOSKY, Peter",V000108,1949,,-0.402,0.244,-126.92638,0.87794,975,43,,-0.311,0.052
111,House,20117,22,6,IN,200,0,1,"PENCE, Mike",P000587,1959,,0.655,0.088,-98.42769,0.9,931,37,,0.632,0.036
111,House,20717,22,2,IN,100,0,1,"DONNELLY, Joe",D000607,1955,,-0.119,0.435,-290.81784,0.74368,982,147,,-0.096,0.397
111,House,20718,22,8,IN,100,0,1,"ELLSWORTH, Brad",E000289,1958,,-0.106,0.612,-297.60948,0.732,955,142,,-0.108,0.442
111,House,20757,22,7,IN,100,0,1,"CARSON, André",C001072,1974,,-0.435,0.03,-43.40362,0.95668,980,17,,-0.464,0.221
111,House,21100,22,3,IN,200,2,2,"STUTZMAN, Marlin",S001188,1976,,0.728,-0.119,-5.14988,0.9074,53,1,,0.789,0.04
111,House,29350,22,4,IN,200,0,1,"BUYER, Stephen Earle",B001203,1958,,0.435,0.192,-176.16393,0.815,862,80,,0.399,0.24
